service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20230113","20230402"
"T0+a5","1","1","1","1","0","0","0","20230113","20230402"
"T0+a6","0","0","0","0","1","0","0","20230113","20230402"
"T2","0","0","0","0","0","1","0","20221230","20230101"
"T2_1","0","0","0","0","0","1","0","20230106","20230108"
"T2_2","0","0","0","0","0","1","0","20230113","20230402"
"T5","0","1","1","1","0","0","0","20230102","20230105"
"T5_1","1","1","1","1","0","0","0","20230109","20230112"
"T5_2","0","1","0","0","0","0","0","20230102","20230103"
"T5_3","0","0","1","1","0","0","0","20230104","20230105"
"T5_4","1","1","1","0","0","0","0","20230109","20230111"
"T5+ap","0","1","0","0","0","0","0","20230102","20230105"
"T5+ap_1","0","1","0","0","0","0","0","20230109","20230112"
"T5+aq","0","0","1","0","0","0","0","20230102","20230105"
"T5+ar","0","0","0","1","0","0","0","20230104","20230105"
"T5+ar_1","0","0","0","1","0","0","0","20230109","20230112"
"T5+ar_2","0","0","0","1","0","0","0","20230102","20230105"
"T5+d1","0","1","1","0","0","0","0","20230102","20230105"
"T5+li","1","0","1","0","0","0","0","20230109","20230112"
"T5+lq","0","1","0","1","0","0","0","20230102","20230105"
"T5+ph","0","0","1","1","0","0","0","20230102","20230105"
"T5+tb","1","0","1","1","0","0","0","20230109","20230112"
"T5+td","0","0","1","0","0","0","0","20230104","20230105"
"T5+td_1","1","1","1","0","0","0","0","20230109","20230112"
"T6","0","0","0","0","1","0","0","20221230","20230101"
"T6_1","0","0","0","0","1","0","0","20230106","20230108"
"UJ","0","0","0","0","0","0","1","20230106","20230108"
"UJ_1","0","0","0","0","0","0","1","20230113","20230402"
"UQ","0","0","1","0","0","0","0","20230104","20230104"
"UR","0","0","0","1","0","0","0","20230105","20230105"
"UR_1","0","0","0","1","0","0","0","20230112","20230112"
"UX","0","0","0","0","0","0","1","20221230","20230101"
"UZ","1","0","0","0","0","0","0","20230102","20230105"
"UZ_1","1","0","0","0","0","0","0","20230102","20230103"
