service_id,date,exception_type
"T2+va200","20230107","2"
"T2+va200","20230114","2"
"T2+va200","20230121","2"
"T2+va200","20230128","2"
"T3","20230101","2"
"T3_1","20230101","2"
"T3_10","20230101","2"
"T3_15","20230101","2"
"T3_9","20230101","2"
"T5","20230102","2"
"T5","20230126","2"
"TL","20230102","2"
"TL","20230126","2"
"TL_10","20230102","2"
"TL_10","20230126","2"
"TL_11","20230102","2"
"TL_2","20230102","2"
"TL_21","20230126","2"
"TL_3","20230126","2"
"TL_4","20230313","2"
"TL_8","20230126","2"
"TL+0d200","20230102","2"
"TL+0d200","20230126","2"
"TL+75200","20230126","2"
"TL+99200","20230313","2"
"UH","20230105","2"
"UH","20230112","2"
"UH","20230119","2"
"UH_1","20230105","2"
"UH_1","20230112","2"
"UH_1","20230119","2"
"UH_4","20230105","2"
"UH_4","20230112","2"
"UH_4","20230119","2"
"UH_5","20230105","2"
"UH_5","20230112","2"
"UH_5","20230119","2"
"UH_7","20230112","2"
"UH_7","20230119","2"
"UX","20230108","2"
"UX","20230115","2"
"UX","20230122","2"
"UX","20230129","2"
"UX_1","20230108","2"
"UX_1","20230115","2"
"UX_1","20230122","2"
"UX_1","20230129","2"
"UX_4","20230108","2"
"UX_4","20230115","2"
"UX_4","20230122","2"
"UX_4","20230129","2"
"UX_5","20230108","2"
"UX_5","20230115","2"
"UX_5","20230122","2"
"UX_7","20230108","2"
"UZ","20230109","2"
"UZ","20230116","2"
"UZ","20230123","2"
"UZ_1","20230109","2"
"UZ_1","20230116","2"
"UZ_1","20230123","2"
"UZ_3","20230109","2"
"UZ_3","20230116","2"
"UZ_3","20230123","2"
"UZ_4","20230109","2"
"UZ_4","20230116","2"
