suburb,Adjusted Postcode
East Melbourne,3002
West Melbourne,3003
Southbank,3006
Docklands,3008
Footscray,3011
Brooklyn,3012
Yarraville,3013
Newport,3015
Williamstown,3016
Altona,3018
Braybrook,3019
Albion,3020
Albanvale,3021
Burnside,3023
Manor Lakes,3024
Altona North,3025
Laverton North,3026
Williams Landing,3027
Altona Meadows,3028
Hoppers Crossing,3029
Derrimut,3030
Flemington,3031
Ascot Vale,3032
Keilor East,3033
Avondale Heights,3034
Keilor,3036
Delahey,3037
Keilor Downs,3038
Moonee Ponds,3039
Aberfeldie,3040
Essendon North,3041
Airport West,3042
Gladstone Park,3043
Pascoe Vale,3044
Melbourne Airport,3045
Glenroy,3046
Broadmeadows,3047
Coolaroo,3048
North Melbourne,3051
Parkville,3052
Carlton,3053
Carlton North,3054
Brunswick West,3055
Brunswick,3056
Brunswick East,3057
Coburg,3058
Fawkner,3060
Craigieburn,3064
Fitzroy,3065
Collingwood,3066
Abbotsford,3067
Clifton Hill,3068
Northcote,3070
Thornbury,3071
Preston,3072
Reservoir,3073
Thomastown,3074
Lalor,3075
Epping,3076
Alphington,3078
Ivanhoe,3079
Heidelberg Heights,3081
Mill Park,3082
Bundoora,3083
Eaglemont,3084
Watsonia,3087
Briar Hill,3088
Lower Plenty,3093
Eltham,3095
Kangaroo Ground,3097
Hurstbridge,3099
Kew,3101
Kew East,3102
Balwyn,3103
Balwyn North,3104
Bulleen,3105
Templestowe,3106
Templestowe Lower,3107
Doncaster,3108
Doncaster East,3109
Chirnside Park,3116
Burnley,3121
Hawthorn,3122
Hawthorn East,3123
Camberwell,3124
Burwood,3125
Mont Albert,3127
Box Hill,3128
Box Hill North,3129
Blackburn,3130
Forest Hill,3131
Mitcham,3132
Vermont,3133
Ringwood,3134
Heathmont,3135
Croydon,3136
Kilsyth,3137
Mooroolbark,3138
Launching Place,3139
South Yarra,3141
Toorak,3142
Armadale,3143
Caulfield East,3145
Glen Iris,3146
Ashburton,3147
Mount Waverley,3149
Glen Waverley,3150
Burwood East,3151
Wantirna,3152
Bayswater,3153
The Basin,3154
Boronia,3155
Ferntree Gully,3156
Caulfield North,3161
Caulfield,3162
Carnegie,3163
Dandenong South,3164
Bentleigh East,3165
Hughesdale,3166
Clayton,3168
Clarinda,3169
Mulgrave,3170
Springvale,3171
Dingley Village,3172
Keysborough,3173
Noble Park,3174
Bangholme,3175
Doveton,3177
Rowville,3178
Prahran,3181
St Kilda,3182
Balaclava,3183
Elwood,3184
Elsternwick,3185
Brighton,3186
Brighton East,3187
Hampton,3188
Beaumaris,3193
Mentone,3194
Aspendale,3195
Bonbeach,3196
Carrum,3197
Seaford,3198
Frankston,3199
Frankston North,3200
Carrum Downs,3201
Bentleigh,3204
South Melbourne,3205
Albert Park,3206
Port Melbourne,3207
Little River,3211
Aintree,3336
Harkness,3337
Brookfield,3338
Diggers Rest,3427
Sunbury,3429
Wollert,3750
South Morang,3752
Beveridge,3753
Doreen,3754
Yan Yean,3755
Humevale,3757
Montrose,3765
Kalorama,3766
Gembrook,3783
Tremont,3785
Ferny Creek,3786
Sassafras,3787
Sherbrooke,3789
Kallista,3791
The Patch,3792
Mount Evelyn,3796
Yarra Junction,3797
East Warburton,3799
Endeavour Hills,3802
Hallam,3803
Narre Warren North,3804
Narre Warren,3805
Berwick,3806
Pakenham,3810
Nar Nar Goon,3812
Tynong,3813
Langwarrin,3910
Baxter,3911
Pearcedale,3912
Tyabb,3913
Merricks,3916
Bittern,3918
Crib Point,3919
Balnarring,3926
Flinders,3929
Mount Eliza,3930
Mornington,3931
Mount Martha,3934
Dromana,3936
Capel Sound,3940
Rye,3941
Blairgowrie,3942
Sorrento,3943
Portsea,3944
Lynbrook,3975
Botanic Ridge,3977
Clyde,3978
Koo Wee Rup,3981
Lang Lang,3984
Ardeer,"3022, 3020"
Attwood,"3043, 3049"
Greenvale,"3059, 3428"
Campbellfield,"3061, 3048"
Somerton,"3064, 3062"
Macleod,"3084, 3085"
Plenty,"3090, 3091"
Montmorency,"3094, 3088"
Diamond Creek,"3096, 3089"
Donvale,"3111, 3114"
North Warrandyte,"3113, 3115"
Canterbury,"3127, 3126"
Lilydale,"3140, 3770"
Kooyong,"3144, 3146"
Chadstone,"3147, 3148"
Upwey,"3158, 3160"
Menzies Creek,"3160, 3159"
Oakleigh South,"3169, 3167"
Scoresby,"3180, 3179"
Moorabbin,"3189, 3202"
Sandringham,"3191, 3193"
Highett,"3192, 3190"
Fraser Rise,"3335, 3024"
Mount Dandenong,"3767, 3788"
Yarra Glen,"3777, 3775"
Cockatoo,"3782, 3781"
Monbulk,"3793, 3795"
Beaconsfield,"3807, 3809"
Garfield,"3815, 3814"
Blind Bight,"3912, 3980"
Hastings,"3915, 3927"
Rosebud,"3939, 3938"
Hampton Park,"3976, 3975"
