,Suburb,Unnamed: 1,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,GCCSA,Total Growth,Total Growth %,bus,train,tram,Grand Total,trips_per_stop
1,Brunswick East,105,Brunswick East,11716,14933,16282,17791,19327,2GMEL,7611,65%,2059.0,,4326.0,6385,118.2407407
12,Parkville,123,Parkville,7898,9020,9640,10615,11559,2GMEL,3661,46%,1191.0,230.0,3845.0,5266,103.254902
13,West Melbourne,126,West Melbourne,3,0,0,0,0,2GMEL,-3,-100%,3478.0,1235.0,272.0,4985,118.6904762
23,Fitzroy,141,Fitzroy,11259,12107,13059,13980,14970,2GMEL,3711,33%,1231.0,,5388.0,6619,150.4318182
44,Burwood East,166,Burwood East,10772,11722,13468,15131,16715,2GMEL,5943,55%,4974.0,,1354.0,6328,105.4666667
66,Kingsbury,206,Kingsbury,11965,13109,14057,14826,15678,2GMEL,3713,0.310321772,2516.0,,540.0,3056,145.5238095
70,Preston,210,Preston - West,12867,14526,16933,19085,21363,2GMEL,8496,0.660293775,18909.0,700.0,5349.0,24958,117.1737089
74,Bundoora,218,Bundoora - North,7959,9163,10169,11219,12372,2GMEL,4413,0.554466642,11237.0,,3240.0,14477,111.3615385
75,Bundoora,219,Bundoora - West,6456,6914,7382,7862,8356,2GMEL,1900,0.294299876,11237.0,,3240.0,14477,111.3615385
82,Epping,227,Epping - East,13738,14087,15462,17313,18068,2GMEL,4330,0.315184161,18445.0,344.0,,18789,114.5670732
83,Epping,228,Epping - South,8690,8825,9057,9301,9558,2GMEL,868,0.099884925,18445.0,344.0,,18789,114.5670732
84,Epping,229,Epping - West,11484,13431,14567,15718,16410,2GMEL,4926,0.428944619,18445.0,344.0,,18789,114.5670732
86,South Morang,231,South Morang (North),12675,13556,15638,17969,19911,2GMEL,7236,0.570887574,10363.0,1012.0,,11375,102.4774775
87,South Morang,232,South Morang (South),12558,13118,13806,14287,14764,2GMEL,2206,0.175664915,10363.0,1012.0,,11375,102.4774775
113,Wantirna,271,Wantirna,14425,14927,15621,16220,16808,2GMEL,2383,0.165199307,4658.0,,,4658,101.2608696
125,Forest Hill,287,Forest Hill,11074,11624,12205,12829,13473,2GMEL,2399,0.216633556,5044.0,,,5044,102.9387755
129,Vermont South,291,Vermont South,12251,12647,13001,13376,13797,2GMEL,1546,0.12619378,5551.0,,527.0,6078,121.56
